ID;Módulo;Funcionalidade;Descrição do Teste;Passos para Testar;Resultado Esperado;Resultado Obtido;Estado;Observações
T19;Detalhe da Frota;Editar viatura;Verificar edição de uma viatura;1. Clicar no ícone de editar numa viatura 2. Alterar campos 3. Guardar;Dados atualizados na lista;;Não Testado;
T20;Detalhe da Frota;Eliminar viatura;Verificar eliminação de viatura;1. Clicar no ícone de eliminar 2. Confirmar;Viatura removida da lista;;Não Testado;
T21;Detalhe da Frota;Adicionar despesa;Verificar registo de despesa numa viatura;1. Clicar no ícone de despesa numa viatura 2. Preencher formulário 3. Guardar;Despesa registada com sucesso;;Não Testado;
T22;Detalhe da Frota;Adicionar receita;Verificar registo de receita numa viatura;1. Clicar no ícone de receita numa viatura 2. Preencher formulário 3. Guardar;Receita registada com sucesso;;Não Testado;
T23;Detalhe da Frota;Abrir detalhe de viatura;Verificar acesso ao detalhe clicando na matrícula;1. Clicar na matrícula de uma viatura;Abre a página de detalhe da viatura;;Não Testado;
T24;Detalhe da Viatura;Informações gerais;Verificar apresentação dos dados da viatura;1. Abrir detalhe de uma viatura;Apresenta matrícula / modelo / marca / ano / estado;;Não Testado;
T25;Detalhe da Viatura;Aba Despesas;Verificar listagem de despesas;1. Clicar na aba Despesas;Lista todas as despesas com valor / data / tipo;;Não Testado;
T26;Detalhe da Viatura;Adicionar despesa simples;Verificar despesa sem materiais;1. Clicar em Adicionar Despesa 2. Selecionar tipo não-manutenção 3. Preencher valor e data 4. Guardar;Despesa registada e visível na lista;;Não Testado;
T27;Detalhe da Viatura;Adicionar despesa com materiais;Verificar despesa de manutenção com stock;1. Selecionar tipo Manutenção ou Reparação 2. Pesquisar e adicionar material do stock 3. Verificar preço automático 4. Guardar;Despesa registada e stock decrementado;;Não Testado;
T28;Detalhe da Viatura;Aba Receitas;Verificar listagem de receitas;1. Clicar na aba Receitas;Lista todas as receitas com valor / data;;Não Testado;
T29;Detalhe da Viatura;Adicionar receita;Verificar registo de receita;1. Clicar em Adicionar Receita 2. Preencher formulário 3. Guardar;Receita registada e visível na lista;;Não Testado;
T30;Detalhe da Viatura;Aba Documentos;Verificar listagem de documentos;1. Clicar na aba Documentos;Lista todos os anexos da viatura;;Não Testado;
T31;Detalhe da Viatura;Adicionar documento;Verificar upload de documento;1. Clicar em Adicionar Documento 2. Selecionar ficheiro 3. Guardar;Documento visível na lista;;Não Testado;
T32;Frota Global;Listagem global;Verificar apresentação de todas as viaturas;1. Aceder a Frota Global;Apresenta todas as viaturas de todas as frotas;;Não Testado;
T33;Frota Global;Filtro por estado;Verificar filtragem por estado;1. Selecionar filtro Operacional / Manutenção / Inativo;Lista filtra corretamente;;Não Testado;
T34;Frota Global;Pesquisa;Verificar pesquisa de viatura;1. Escrever matrícula ou modelo na pesquisa;Resultados filtrados em tempo real;;Não Testado;
T35;Agenda;Visualizar calendário;Verificar apresentação do calendário mensal;1. Aceder ao módulo Agenda;Calendário com mês atual e dias corretos;;Não Testado;
T36;Agenda;Eventos automáticos;Verificar eventos gerados automaticamente;1. Verificar se existem viaturas com revisão / seguro / contrato configurados 2. Verificar se aparecem no calendário;Eventos automáticos visíveis com cor diferente;;Não Testado;
T37;Agenda;Alertas na barra lateral;Verificar alertas de vencimento próximo;1. Observar a barra lateral da agenda;Apresenta alertas de seguros / revisões / contratos a vencer em 30 dias;;Não Testado;
T38;Agenda;Navegação entre meses;Verificar navegação no calendário;1. Clicar nas setas de próximo / anterior mês;Calendário atualiza para o mês correto;;Não Testado;
T39;Agenda;Adicionar serviço;Verificar criação de serviço manual;1. Clicar num dia do calendário 2. Clicar em Adicionar Serviço 3. Preencher formulário 4. Guardar;Serviço aparece no dia selecionado;;Não Testado;
T40;Agenda;Editar serviço;Verificar edição de serviço existente;1. Clicar num dia com serviço 2. Clicar no ícone de editar 3. Alterar dados 4. Guardar;Serviço atualizado no calendário;;Não Testado;
T41;Agenda;Eliminar serviço;Verificar eliminação de serviço;1. Clicar num dia com serviço 2. Clicar no ícone de eliminar 3. Confirmar;Serviço removido do calendário;;Não Testado;
T42;Agenda;Evento multi-dia;Verificar que serviço aparece em todos os dias do intervalo;1. Criar serviço com data de início e fim diferentes (ex: 3 dias) 2. Verificar calendário;Evento visível em todos os dias do intervalo;;Não Testado;
T43;Agenda;Auto-status viatura;Verificar mudança automática de estado;1. Criar serviço de manutenção para hoje numa viatura operacional 2. Verificar estado da viatura;Estado muda para Manutenção automaticamente;;Não Testado;
T44;Stock;Visualizar inventário;Verificar listagem de itens em stock;1. Aceder ao módulo Stock;Tabela com todos os itens / categoria / quantidade / estado;;Não Testado;
T45;Stock;KPI cards;Verificar cartões de resumo do stock;1. Observar os cartões no topo;Total de Itens / Stock Baixo / Valor Total / Categorias corretos;;Não Testado;
T46;Stock;Filtro por categoria;Verificar separadores de categoria no inventário;1. Clicar em cada separador (Todos / Pneus / Filtros / etc.);Lista filtra para a categoria selecionada;;Não Testado;
T47;Stock;Pesquisar item;Verificar pesquisa no inventário;1. Escrever nome ou categoria na caixa de pesquisa;Resultados filtrados em tempo real;;Não Testado;
T48;Stock;Adicionar item;Verificar criação de novo item no stock;1. Clicar em Adicionar Item 2. Preencher formulário 3. Guardar;Item aparece na lista com quantidade correta;;Não Testado;
T49;Stock;Editar item;Verificar edição de item existente;1. Clicar no ícone de lápis num item 2. Alterar campos 3. Guardar;Dados atualizados na lista;;Não Testado;
T50;Stock;Eliminar item;Verificar eliminação de item do stock;1. Clicar no ícone de lixo num item 2. Confirmar;Item removido da lista;;Não Testado;
T51;Stock;Estado do stock;Verificar indicadores de estado;1. Verificar coluna Estado na tabela;Itens com qty <= mínimo mostram Baixo em vermelho;;Não Testado;
T52;Stock;Gráfico por categoria;Verificar gráfico de barras;1. Descer até ao gráfico na aba Inventário;Gráfico apresenta quantidade atual vs mínimo por categoria;;Não Testado;
T53;Stock;Histórico - separadores;Verificar separadores de categoria no histórico;1. Clicar na aba Histórico de Uso 2. Clicar em cada categoria;Lista filtra para a categoria selecionada;;Não Testado;
T54;Stock;Histórico - registos;Verificar registos de uso no histórico;1. Aceder ao Histórico de Uso 2. Selecionar categoria com registos;Apresenta viatura / quantidade usada / data / descrição;;Não Testado;
T55;Stock;Histórico - link viatura;Verificar navegação para viatura pelo histórico;1. No Histórico de Uso clicar numa matrícula;Abre o detalhe da viatura correspondente;;Não Testado;
T56;Despesa com Stock;Materiais do stock;Verificar pesquisa e adição de materiais;1. Criar despesa de Manutenção 2. Pesquisar item no campo de materiais 3. Clicar para adicionar;Item adicionado à lista de materiais;;Não Testado;
T57;Despesa com Stock;Preço automático;Verificar cálculo automático do valor;1. Adicionar item com preço unitário definido 2. Ajustar quantidade;Campo Valor atualiza automaticamente (ex: 2 pneus x 80€ = 160€);;Não Testado;
T58;Despesa com Stock;Ajuste de quantidade;Verificar botões +/- nos materiais;1. Adicionar material 2. Clicar em + e -;Quantidade altera e preço recalcula automaticamente;;Não Testado;
T59;Despesa com Stock;Material externo;Verificar adição de material não existente no stock;1. Clicar em Adicionar item externo ao stock 2. Preencher nome e categoria 3. Adicionar;Material externo adicionado com badge laranja;;Não Testado;
T60;Despesa com Stock;Validação pneu - tamanho correto;Verificar seleção de pneu com tamanho correto;1. Viatura com tamanho de pneu definido 2. Pesquisar pneu do mesmo tamanho 3. Selecionar;Pneu adicionado sem aviso;;Não Testado;
T61;Despesa com Stock;Validação pneu - tamanho errado;Verificar aviso de dimensão de pneu diferente;1. Pesquisar pneu de tamanho diferente da viatura 2. Selecionar;Aparece aviso em amarelo com opção Cancelar ou Adicionar mesmo assim;;Não Testado;
T62;Despesa com Stock;Confirmar pneu errado;Verificar adição de pneu com dimensão diferente após confirmação;1. Selecionar pneu errado 2. Clicar em Adicionar mesmo assim;Pneu adicionado com badge de aviso;;Não Testado;
T63;Despesa com Stock;Decremento de stock;Verificar que stock é decrementado após guardar despesa;1. Notar quantidade de item no stock 2. Usar 2 unidades numa despesa 3. Verificar stock;Quantidade reduzida em 2 unidades;;Não Testado;
T64;Despesa com Stock;Histórico de uso;Verificar que uso aparece no histórico do stock;1. Guardar despesa com materiais 2. Ir ao Stock - Histórico de Uso;Registo aparece com matrícula / quantidade / data;;Não Testado;
T65;Configurações;Visualizar perfil;Verificar apresentação dos dados do utilizador;1. Clicar no ícone de Configurações;Apresenta nome e email/utilizador do utilizador autenticado;;Não Testado;
T66;Configurações;Logo na página;Verificar apresentação do logo na secção Sobre;1. Aceder às Configurações e descer até Sobre;Logo Centrolider em tamanho grande visível;;Não Testado;
T67;Configurações;Logout;Verificar logout pela página de configurações;1. Clicar em Terminar sessão;Redireciona para login;;Não Testado;
T68;Geral;Responsividade mobile;Verificar apresentação em ecrã pequeno;1. Reduzir janela do browser ou usar DevTools mobile;Menu colapsa / conteúdo adapta-se;;Não Testado;
T69;Geral;Persistência de sessão;Verificar que sessão persiste ao recarregar;1. Fazer login 2. Recarregar a página (F5);Utilizador continua autenticado;;Não Testado;
T70;Geral;Mensagens de erro;Verificar feedback de erro em formulários;1. Tentar guardar formulário com dados inválidos;Mensagem de erro clara e visível;;Não Testado;
T71;Geral;Estado de carregamento;Verificar indicadores de carregamento;1. Aceder a qualquer módulo pela primeira vez;Spinner ou indicador de carregamento visível enquanto dados carregam;;Não Testado;
T72;Geral;Dados em tempo real;Verificar que dados são atualizados após operações;1. Adicionar / editar / eliminar qualquer registo;Lista atualiza imediatamente sem recarregar a página;;Não Testado;
